Episode 874: Total Reward = 477.0, Position = 40, Completed: False
Episode 875: Total Reward = 470.0, Position = 40, Completed: False
Episode 876: Total Reward = 1754.0, Position = 40, Completed: False
Episode 877: Total Reward = 472.0, Position = 40, Completed: False
Episode 878: Total Reward = 1005.0, Position = 40, Completed: False
Episode 879: Total Reward = 479.0, Position = 40, Completed: False
Episode 880: Total Reward = 831.0, Position = 40, Completed: False
Episode 881: Total Reward = 480.0, Position = 40, Completed: False
Episode 882: Total Reward = 1006.0, Position = 40, Completed: False
Episode 883: Total Reward = 492.0, Position = 40, Completed: False
Episode 884: Total Reward = 951.0, Position = 40, Completed: False
Episode 885: Total Reward = 854.0, Position = 40, Completed: False
Episode 886: Total Reward = 500.0, Position = 40, Completed: False
Episode 887: Total Reward = 477.0, Position = 40, Completed: False
Episode 888: Total Reward = 465.0, Position = 40, Completed: False
Episode 889: Total Reward = 973.0, Position = 40, Completed: False
Episode 890: Total Reward = 493.0, Position = 40, Completed: False
Episode 891: Total Reward = 476.0, Position = 40, Completed: False
Episode 892: Total Reward = 477.0, Position = 40, Completed: False
Episode 893: Total Reward = 1629.0, Position = 40, Completed: False
Episode 894: Total Reward = 460.0, Position = 40, Completed: False
Episode 895: Total Reward = 857.0, Position = 40, Completed: False
Episode 896: Total Reward = 464.0, Position = 40, Completed: False
Episode 897: Total Reward = 1823.0, Position = 40, Completed: False
Episode 898: Total Reward = 493.0, Position = 40, Completed: False
Episode 899: Total Reward = 450.0, Position = 40, Completed: False
Episode 900: Total Reward = 485.0, Position = 40, Completed: False
Episode 901: Total Reward = 474.0, Position = 40, Completed: False
Episode 902: Total Reward = 1529.0, Position = 40, Completed: False
Episode 903: Total Reward = 481.0, Position = 40, Completed: False
Episode 904: Total Reward = 841.0, Position = 40, Completed: False
Episode 905: Total Reward = 885.0, Position = 40, Completed: False
Episode 906: Total Reward = 467.0, Position = 40, Completed: False
Episode 907: Total Reward = 966.0, Position = 40, Completed: False
Episode 908: Total Reward = 499.0, Position = 40, Completed: False
Episode 909: Total Reward = 482.0, Position = 40, Completed: False
Episode 910: Total Reward = 492.0, Position = 40, Completed: False
Episode 911: Total Reward = 471.0, Position = 40, Completed: False
Episode 912: Total Reward = 475.0, Position = 40, Completed: False
Episode 913: Total Reward = 444.0, Position = 40, Completed: False
Episode 914: Total Reward = 1267.0, Position = 40, Completed: False
Episode 915: Total Reward = 501.0, Position = 40, Completed: False
Episode 916: Total Reward = 971.0, Position = 40, Completed: False
Episode 917: Total Reward = 461.0, Position = 40, Completed: False
Episode 918: Total Reward = 460.0, Position = 40, Completed: False
Episode 919: Total Reward = 976.0, Position = 40, Completed: False
Episode 920: Total Reward = 498.0, Position = 40, Completed: False
Episode 921: Total Reward = 425.0, Position = 40, Completed: False
Episode 922: Total Reward = 436.0, Position = 40, Completed: False
Episode 923: Total Reward = 463.0, Position = 40, Completed: False
Episode 924: Total Reward = 474.0, Position = 40, Completed: False
Episode 925: Total Reward = 482.0, Position = 40, Completed: False
Episode 926: Total Reward = 463.0, Position = 40, Completed: False
Episode 927: Total Reward = 471.0, Position = 40, Completed: False
Episode 928: Total Reward = 480.0, Position = 40, Completed: False
Episode 929: Total Reward = 1246.0, Position = 40, Completed: False
Episode 930: Total Reward = 791.0, Position = 40, Completed: False
Episode 931: Total Reward = 498.0, Position = 40, Completed: False
Episode 932: Total Reward = 821.0, Position = 40, Completed: False
Episode 933: Total Reward = 1018.0, Position = 40, Completed: False
Episode 934: Total Reward = 956.0, Position = 40, Completed: False
Episode 935: Total Reward = 984.0, Position = 40, Completed: False
Episode 936: Total Reward = 1203.0, Position = 40, Completed: False
Episode 937: Total Reward = 845.0, Position = 40, Completed: False
Episode 938: Total Reward = 839.0, Position = 40, Completed: False
Episode 939: Total Reward = 480.0, Position = 40, Completed: False
Episode 940: Total Reward = 481.0, Position = 40, Completed: False
Episode 941: Total Reward = 458.0, Position = 40, Completed: False
Episode 942: Total Reward = 989.0, Position = 40, Completed: False
Episode 943: Total Reward = 463.0, Position = 40, Completed: False
Episode 944: Total Reward = 1282.0, Position = 40, Completed: False
Episode 945: Total Reward = 498.0, Position = 40, Completed: False
Episode 946: Total Reward = 467.0, Position = 40, Completed: False
Episode 947: Total Reward = 832.0, Position = 40, Completed: False
Episode 948: Total Reward = 470.0, Position = 40, Completed: False
Episode 949: Total Reward = 491.0, Position = 40, Completed: False
Episode 950: Total Reward = 470.0, Position = 40, Completed: False
Episode 951: Total Reward = 1236.0, Position = 40, Completed: False
Episode 952: Total Reward = 461.0, Position = 40, Completed: False
Episode 953: Total Reward = 1248.0, Position = 40, Completed: False
Episode 954: Total Reward = 955.0, Position = 40, Completed: False
Episode 955: Total Reward = 483.0, Position = 40, Completed: False
Episode 956: Total Reward = 1615.0, Position = 40, Completed: False
Episode 957: Total Reward = 479.0, Position = 40, Completed: False
Episode 958: Total Reward = 1243.0, Position = 40, Completed: False
Episode 959: Total Reward = 1275.0, Position = 40, Completed: False
Episode 960: Total Reward = 892.0, Position = 40, Completed: False
Episode 961: Total Reward = 460.0, Position = 40, Completed: False
Episode 962: Total Reward = 481.0, Position = 40, Completed: False
Episode 963: Total Reward = 474.0, Position = 40, Completed: False
Episode 964: Total Reward = 498.0, Position = 40, Completed: False
Episode 965: Total Reward = 466.0, Position = 40, Completed: False
Episode 966: Total Reward = 1341.0, Position = 40, Completed: False
Episode 967: Total Reward = 907.0, Position = 40, Completed: False
Episode 968: Total Reward = 476.0, Position = 40, Completed: False
Episode 969: Total Reward = 453.0, Position = 40, Completed: False
Episode 970: Total Reward = 1255.0, Position = 40, Completed: False
