Episode 320: Total Reward = 1900.0 | x_pos = 722 | completed: False
Episode 321: Total Reward = 1484.0 | x_pos = 311 | completed: False
Episode 322: Total Reward = 2347.0 | x_pos = 861 | completed: False
Episode 323: Total Reward = 1761.0 | x_pos = 806 | completed: False
Episode 324: Total Reward = 1243.0 | x_pos = 1392 | completed: False
Episode 325: Total Reward = 691.0 | x_pos = 279 | completed: False
Episode 326: Total Reward = 2260.0 | x_pos = 1521 | completed: False
Episode 327: Total Reward = 2312.0 | x_pos = 1226 | completed: False
Episode 328: Total Reward = 2604.0 | x_pos = 1152 | completed: False
Episode 329: Total Reward = 1284.0 | x_pos = 1395 | completed: False
Episode 330: Total Reward = 2206.0 | x_pos = 296 | completed: False
Episode 331: Total Reward = 603.0 | x_pos = 275 | completed: False
Episode 332: Total Reward = 3513.0 | x_pos = 3161 | completed: True
Episode 333: Total Reward = 2453.0 | x_pos = 1137 | completed: False
Episode 334: Total Reward = 1368.0 | x_pos = 1412 | completed: False
Episode 335: Total Reward = 2686.0 | x_pos = 1410 | completed: False
Episode 336: Total Reward = 1660.0 | x_pos = 311 | completed: False
Episode 337: Total Reward = 1516.0 | x_pos = 704 | completed: False
Episode 338: Total Reward = 1800.0 | x_pos = 673 | completed: False
Episode 339: Total Reward = 1573.0 | x_pos = 1410 | completed: False
Episode 340: Total Reward = 1656.0 | x_pos = 1410 | completed: False
Episode 341: Total Reward = 1916.0 | x_pos = 312 | completed: False
Episode 342: Total Reward = 1373.0 | x_pos = 722 | completed: False
Episode 343: Total Reward = 1865.0 | x_pos = 1229 | completed: False
Episode 344: Total Reward = 1068.0 | x_pos = 806 | completed: False
Episode 345: Total Reward = 1966.0 | x_pos = 1412 | completed: False
Episode 346: Total Reward = 1651.0 | x_pos = 1516 | completed: False
Episode 347: Total Reward = 3750.0 | x_pos = 3161 | completed: True
Episode 348: Total Reward = 2770.0 | x_pos = 804 | completed: False
Episode 349: Total Reward = 3654.0 | x_pos = 898 | completed: False
Episode 350: Total Reward = 2767.0 | x_pos = 1126 | completed: False
Episode 351: Total Reward = 1375.0 | x_pos = 303 | completed: False
Episode 352: Total Reward = 1365.0 | x_pos = 298 | completed: False
Episode 353: Total Reward = 2065.0 | x_pos = 1405 | completed: False
Episode 354: Total Reward = 1750.0 | x_pos = 316 | completed: False
Episode 355: Total Reward = 2328.0 | x_pos = 898 | completed: False
Episode 356: Total Reward = 1757.0 | x_pos = 1125 | completed: False
Episode 357: Total Reward = 2459.0 | x_pos = 679 | completed: False
Episode 358: Total Reward = 1926.0 | x_pos = 722 | completed: False
Episode 359: Total Reward = 931.0 | x_pos = 306 | completed: False
Episode 360: Total Reward = 1993.0 | x_pos = 1411 | completed: False
Episode 361: Total Reward = 1618.0 | x_pos = 683 | completed: False
Episode 362: Total Reward = 1750.0 | x_pos = 296 | completed: False
Episode 363: Total Reward = 1809.0 | x_pos = 1412 | completed: False
Episode 364: Total Reward = 1373.0 | x_pos = 1410 | completed: False
Episode 365: Total Reward = 1871.0 | x_pos = 1521 | completed: False
Episode 366: Total Reward = 1672.0 | x_pos = 1438 | completed: False
Episode 367: Total Reward = 2743.0 | x_pos = 2015 | completed: False
Episode 368: Total Reward = 1408.0 | x_pos = 294 | completed: False
Episode 369: Total Reward = 2591.0 | x_pos = 898 | completed: False
Episode 370: Total Reward = 2525.0 | x_pos = 1127 | completed: False
Episode 371: Total Reward = 2493.0 | x_pos = 1410 | completed: False
Episode 372: Total Reward = 2322.0 | x_pos = 1432 | completed: False
Episode 373: Total Reward = 1385.0 | x_pos = 1436 | completed: False
Episode 374: Total Reward = 1694.0 | x_pos = 1657 | completed: False
Episode 375: Total Reward = 1436.0 | x_pos = 696 | completed: False
Episode 376: Total Reward = 2511.0 | x_pos = 1128 | completed: False
Episode 377: Total Reward = 2382.0 | x_pos = 1123 | completed: False
Episode 378: Total Reward = 1529.0 | x_pos = 313 | completed: False
Episode 379: Total Reward = 3098.0 | x_pos = 3161 | completed: True
Episode 380: Total Reward = 2096.0 | x_pos = 1402 | completed: False
Episode 381: Total Reward = 1668.0 | x_pos = 1504 | completed: False
Episode 382: Total Reward = 1453.0 | x_pos = 1436 | completed: False
Episode 383: Total Reward = 1068.0 | x_pos = 303 | completed: False
Episode 384: Total Reward = 715.0 | x_pos = 312 | completed: False
Episode 385: Total Reward = 2040.0 | x_pos = 869 | completed: False
Episode 386: Total Reward = 2267.0 | x_pos = 801 | completed: False
Episode 387: Total Reward = 658.0 | x_pos = 313 | completed: False
Episode 388: Total Reward = 1858.0 | x_pos = 722 | completed: False
Episode 389: Total Reward = 1643.0 | x_pos = 1424 | completed: False
Episode 390: Total Reward = 1817.0 | x_pos = 1124 | completed: False
Episode 391: Total Reward = 2192.0 | x_pos = 816 | completed: False
Episode 392: Total Reward = 2077.0 | x_pos = 709 | completed: False
Episode 393: Total Reward = 1310.0 | x_pos = 1411 | completed: False
Episode 394: Total Reward = 1069.0 | x_pos = 315 | completed: False
Episode 395: Total Reward = 1844.0 | x_pos = 1123 | completed: False
Episode 396: Total Reward = 2252.0 | x_pos = 1414 | completed: False
Episode 397: Total Reward = 3224.0 | x_pos = 1414 | completed: False
Episode 398: Total Reward = 3011.0 | x_pos = 1125 | completed: False
Episode 399: Total Reward = 1616.0 | x_pos = 1138 | completed: False
Episode 400: Total Reward = 1158.0 | x_pos = 298 | completed: False
Episode 401: Total Reward = 1944.0 | x_pos = 1411 | completed: False
Episode 402: Total Reward = 1388.0 | x_pos = 1136 | completed: False
